Bandit,Reward,Algorithm
EpsilonGreedy,1,EpsilonGreedy
EpsilonGreedy,2,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,3,EpsilonGreedy
EpsilonGreedy,4,EpsilonGreedy
EpsilonGreedy,4,EpsilonGreedy
EpsilonGreedy,5,EpsilonGreedy
EpsilonGreedy,5,EpsilonGreedy
EpsilonGreedy,6,EpsilonGreedy
EpsilonGreedy,6,EpsilonGreedy
EpsilonGreedy,6,EpsilonGreedy
EpsilonGreedy,6,EpsilonGreedy
EpsilonGreedy,7,EpsilonGreedy
EpsilonGreedy,7,EpsilonGreedy
EpsilonGreedy,7,EpsilonGreedy
EpsilonGreedy,8,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,9,EpsilonGreedy
EpsilonGreedy,10,EpsilonGreedy
EpsilonGreedy,10,EpsilonGreedy
EpsilonGreedy,11,EpsilonGreedy
EpsilonGreedy,11,EpsilonGreedy
EpsilonGreedy,11,EpsilonGreedy
EpsilonGreedy,12,EpsilonGreedy
EpsilonGreedy,13,EpsilonGreedy
EpsilonGreedy,14,EpsilonGreedy
EpsilonGreedy,14,EpsilonGreedy
EpsilonGreedy,15,EpsilonGreedy
EpsilonGreedy,15,EpsilonGreedy
EpsilonGreedy,16,EpsilonGreedy
EpsilonGreedy,16,EpsilonGreedy
EpsilonGreedy,16,EpsilonGreedy
EpsilonGreedy,17,EpsilonGreedy
EpsilonGreedy,17,EpsilonGreedy
EpsilonGreedy,18,EpsilonGreedy
EpsilonGreedy,18,EpsilonGreedy
EpsilonGreedy,19,EpsilonGreedy
EpsilonGreedy,19,EpsilonGreedy
EpsilonGreedy,20,EpsilonGreedy
EpsilonGreedy,21,EpsilonGreedy
EpsilonGreedy,21,EpsilonGreedy
EpsilonGreedy,21,EpsilonGreedy
EpsilonGreedy,21,EpsilonGreedy
EpsilonGreedy,22,EpsilonGreedy
EpsilonGreedy,22,EpsilonGreedy
EpsilonGreedy,22,EpsilonGreedy
EpsilonGreedy,22,EpsilonGreedy
EpsilonGreedy,22,EpsilonGreedy
EpsilonGreedy,23,EpsilonGreedy
EpsilonGreedy,24,EpsilonGreedy
EpsilonGreedy,24,EpsilonGreedy
EpsilonGreedy,25,EpsilonGreedy
EpsilonGreedy,25,EpsilonGreedy
EpsilonGreedy,25,EpsilonGreedy
EpsilonGreedy,25,EpsilonGreedy
